달,날짜,기사 제목,감정 수치
한겨레,20170620, 한겨레 사설  인사 문제로 민정수석 출석하라는 야당의 과한 주장,1
한겨레,20170621, 한겨레 사설  북핵 문제 해결에 긴요한  한국 역할론 ,-1
한겨레,20170622, 한겨레 사설   블라인드 채용   학벌사회 해소의 첫걸음 되길,-2
한겨레,20170622, 한겨레 사설  송영무 후보자   방산비리 척결  자격 있나,0
한겨레,20170622, 한겨레 사설  국민 기대에 한참 못 미친  통신비 절감 대책 ,-1
한겨레,20170623, 한겨레 사설  국민 용납 않는  위안부 합의   새 정부가 바로잡아야,1
한겨레,20170623, 한겨레 사설  추경 볼모로 국회 파행시키는 자유한국당의 몽니,0
한겨레,20170625, 한겨레 사설  평창 올림픽서  남북 단일팀  꼭 볼 수 있기를,0
한겨레,20170626, 한겨레 사설  이혜훈 대표   개혁적 보수 의 새 길 열기를,0
한겨레,20170626, 한겨레 사설  한 미 정상회담  당당하되 전략적 접근 필요하다,1
한겨레,20170626, 사설 속으로  한겨레 중앙일보   정부의 일자리 추경  사설 비교해보기,-1
한겨레,20170627, 한겨레 사설  국민의당  특검 운운하며 잔꾀 부릴 때인가,1
한겨레,20170628, 한겨레 사설  신고리 원전 시민배심원단  숙의 민주주의  보여주길,0
한겨레,20170628, 시민편집인의 눈   정확한 사실 이 정치와 언론을 구원한다,1
한겨레,20170628, 한겨레 사설  송영무 후보 월 3천만원 자문료  국민 납득하겠나,0
한겨레,20170630, 한겨레 사설  정당한 권리  사회적 총파업   공감대 넓히려면,1
한겨레,20170630, 한겨레 사설  2 만 세금 내는 느슨한 상속세 손질해야,-1
한겨레,20170702, 한겨레 사설  미국의 FTA 때리기  대처 방안 면밀히 준비해야,-1
한겨레,20170702, 한겨레 사설  대통령과 여야  대치정국 풀기 위해 지혜 모으길,1
한겨레,20170702, 한겨레 사설   대북 4노 원칙  바탕으로 북한 문제 주도적으로 풀어야,0
한겨레,20170703, 한겨레 사설  이효성 방통위원장 후보자의 막중한 책임,0
한겨레,20170703, 한겨레 사설  홍준표 대표   막장 보수 서 환골탈태해야,-2
한겨레,20170703, 사설 속으로  한겨레 중앙일보   사법부 블랙리스트 파문  사설 비교해보   ,-1
한겨레,20170704, 한겨레 사설  문무일 후보자  검찰기득권 내려놓을 각오 돼있나,0
한겨레,20170704, 한겨레 사설  원청  산재 책임  강화   위험의 외주화  끊는 계기로,-1
한겨레,20170704, 한겨레 사설  대화 노력에 찬물 끼얹는 북의 무모한 미사일 발사,-2
한겨레,20170705, 한겨레 사설  북 ICBM  강하게 대응하되  주도권  잃지 말아야,1
한겨레,20170705, 한겨레 사설  기관투자가   거수기 노릇  이젠 그만둘 때다,0
한겨레,20170706, 한겨레 사설  여당서도  부적격 의견  나오는 조대엽 후보자,-1
한겨레,20170706, 한겨레 사설  북핵 해결 위한  한 중 협력 강화  바람직하다,-1
한겨레,20170706, 한겨레 사설  문 대통령의  베를린 선언   남북대화로 결실 맺기를,-1
한겨레,20170707, 한겨레 사설  아베 총리  진정성 있게  위안부 문제  사과해야,-1
한겨레,20170709, 한겨레 사설   유서대필 조작  사건 검사들에게 책임 못 묻다니,0
한겨레,20170709, 한겨레 사설   사람 중심 경제  공약   부자 증세  없이는 힘들다,-2
한겨레,20170709, 한겨레 사설  북핵 해법 이견 드러낸 G20  우리가 돌파구 열어야,-1
한겨레,20170710, 한겨레 사설   을 들의 최저임금 갈등   갑 의 고통분담이 먼저다,-1
한겨레,20170710, 한겨레 사설   물타기용 특검  또 들고나온 국민의당의 적반하장,0
한겨레,20170710, 사설 속으로  한겨레 중앙일보   탈원전 정책 논란  사설 비교해보기,-1
한겨레,20170711, 한겨레 사설  대통령과 여야 지도부가 머리 맞대고 해법 찾으라,-1
한겨레,20170712, 한겨레 사설  안철수 전 대표  어떻게 책임지겠다는 것인가,0
한겨레,20170713, 한겨레 사설  조대엽 후보자 사퇴  이젠 국회도 정상화해야,-1
한겨레,20170713, 김종철 칼럼  원전문제  누가 결정해야 하나,-1
한겨레,20170713, 한겨레 사설   통상 사령탑 도 없이 맞게 된 미국의 FTA 공세,0
한겨레,20170716, 한겨레 사설  최저임금 7530원  후속대책이 관건이다,0
한겨레,20170717, 한겨레 사설  홍준표 대표의 너무 속좁은  청와대 회동  거부,0
한겨레,20170717, 한겨레 사설  새 정부의 첫  남북대화  제안  북한도 호응해야,-2
한겨레,20170717, 사설 속으로  한겨레 중앙일보   신베를린 선언과 남북정상회담 제안  사   ,1
한겨레,20170719, 한겨레 사설  대통령과 여야 대표  자주 만나서 대화해야,-2
한겨레,20170719, 한겨레 사설   촛불 정신  담은 국정운영 청사진  문제는 실행이다,1
한겨레,20170721, 한겨레 사설  남쪽의 대화 제안에  메아리 없는 북 ,-1
한겨레,20170721, 한겨레 사설  증세 미루지 말고  공평 과세  실현해야,-1
한겨레,20170723, 한겨레 사설   안전 민생 공무원  증원 축소로 반쪽 돼버린 추경,1
한겨레,20170723, 원전 제로 까지 최소 60년 탈원전  정말 과속일까요 ,0
한겨레,20170723, 한겨레 사설  여성 장관 30    유리천장  깨는 이정표 되길,1
한겨레,20170723, 한겨레 사설  복지 뒷받침할  포괄적 증세  논의 필요하다,0
한겨레,20170724, 한겨레 사설  문무일 후보자  이런 태도로  검찰개혁  할 수 있겠나,0
한겨레,20170724, 사설 속으로  한겨레 중앙일보   내년 최저임금 확정  사설 비교해보기,-1
한겨레,20170725, 한겨레 사설   죽기 전에 일본의 사과 받고 싶다 더니 ,0
한겨레,20170725, 한겨레 사설  새 정부  경제 패러다임 전환   성과로 보여줘야,0
한겨레,20170726, 한겨레 사설  담뱃값 다시 내리자는 자유한국당의  후안무치 ,0
한겨레,20170726, 한겨레 사설   전교조 재합법화  정부 결단 필요하다,-1
한겨레,20170726, 시민편집인의 눈  민주주의는  겸손한 언론 을 원한다   최영재,0
한겨레,20170727, 한겨레 사설   쇄신 인사 로 첫 단추 끼운 검찰  이제 개혁에 나서야,1
한겨레,20170727,북  군사회담 반응도 미사일 발사도 없었다,0
한겨레,20170727, 한겨레 사설  문 대통령과 기업인 첫 만남   상생경제  출발점 돼야,0
한겨레,20170728, 한겨레 사설  한밤  미사일 도발 로 위기 높인 북한의 무모함,-1
한겨레,20170730, 한겨레 사설  사드 추가 배치로 북한 ICBM 막을 수 있나,0
한겨레,20170730, 한겨레 사설  문 대통령의 여름휴가  부정적으로 볼 일 아니다,-2
한겨레,20170730, 한겨레 사설   대륙간탄도미사일  연거푸 발사한 북한의 무모함,0
한겨레,20170731, 한겨레 사설  위기의 한반도   한국 역할  포기 말아야,-1
한겨레,20170731, 사설 속으로  한겨레 중앙일보   문재인 정부 국정운영 5개년 계획  사설   ,1
한겨레,20170801, 한겨레 사설  미국  압박만으론  북 핵 미사일 문제  풀 수 없다,-1
한겨레,20170802, 한겨레 사설  소폭에 그친 증세   지출 구조조정 으로 보완해야,-1
한겨레,20170804,이건 전문가들이 결정할 문제가 아닙니다,1
한겨레,20170806, 한겨레 사설  마침내 외환위기 이전으로 돌아가는 이자상한선,-2
한겨레,20170806, 한겨레 사설  초등교사 임용  내년 늘리고 중장기 수급전망 내야,0
한겨레,20170806, 한겨레 사설  안보리 제재 따른 한반도 위기 대응전략도 세워야,-1
한겨레,20170807, 한겨레 사설   대북 압박 에 치우친 한 미 정상 통화,0
한겨레,20170807, 사설 속으로  한겨레 중앙일보   문무일 검찰총장 후보자 인사청문회  사설   ,0
한겨레,20170808,문 대통령  몰카영상  유포자한테 삭제비용 물려라 ,0
한겨레,20170808, 한겨레 사설   가습기살균제  고통 어루만진 대통령의 사과,-1
한겨레,20170809, 한겨레 사설   공영방송 정상화  가로막는 훼방꾼들,-1
한겨레,20170810, 한겨레 사설  박기영 임명 철회  청와대가 결단해야,-1
한겨레,20170811, 한겨레 사설  한반도 위기   대북 특사 로 돌파구 열어야,-1
한겨레,20170811, 한겨레 사설  1년 반 만에 집값 하락  주택시장 정상화 출발 돼야,0
한겨레,20170813, 한겨레 사설  문 대통령  광복절 경축사에 담대한  북핵 해법  담기를,-1
한겨레,20170813, 한겨레 사설  징벌적 손배제   3배 배상 으로 갑질 근절하겠나,-1
한겨레,20170814, 한겨레 사설  이제라도 독립유공자와 후손 제대로 예우해야,-2
한겨레,20170814, 한겨레 사설   건강보험 보장성 강화  맞춰 실손보험도 대수술을,-1
한겨레,20170814, 사설 속으로  한겨레 중앙일보   초등교사 수급 갈등  사설 비교해보기,-1
한겨레,20170815, 한겨레 사설  문화방송 망가뜨린 장본인들의 적반하장,-1
한겨레,20170815, 한겨레 사설  우리 곁에 닥쳐온  살충제 달걀  충격,-1
한겨레,20170815, 한겨레 사설   전쟁만은 막겠다  평화 의지 천명한 문 대통령,-1
한겨레,20170816, 한겨레 사설  3년여 만의 사과  이제 세월호를  진실 의 바다로,1
한겨레,20170816, 한겨레 사설  누가  건국절  주장하며 분열 부추기는가,-1
한겨레,20170817, 한겨레 사설   나라다운 나라  물꼬 튼 100일  이제부터 시작이다,1
한겨레,20170818, 한겨레 사설  북한에  레드라인  넘지 말라고 경고한 대통령,-1
한겨레,20170818, 한겨레 사설  헌법재판관에  색깔론  이어 이젠  정치색  트집인가,1
한겨레,20170821, 한겨레 사설   살충제 달걀 파동 에 대국민 사과한 대통령,0
한겨레,20170821, 한겨레 사설  대법원장  파격 인선   사법개혁으로 이어져야,0
한겨레,20170821, 사설 속으로  한겨레 중앙일보   2017년 세법개정안  사설 비교해보기,-1
한겨레,20170822, 한겨레 사설  교육부의 수능  양자택일식  결정  재고해야 한다,-1
한겨레,20170822, 한겨레 사설   외교가 우선 이라는 미군 수뇌부  북한도 화답하길,-1
한겨레,20170823, 한겨레 사설  5 18 특별조사  온전한  진상 규명  계기 되길,1
한겨레,20170823, 한겨레 사설  방통위  방송사에  공적 책임  엄격히 물어야,0
한겨레,20170823, 한겨레 사설  사드에 멈춘 25년 한 중 관계   성숙한 동반자  돼야,1
한겨레,20170824, 한겨레 사설  MBC 망쳐놓은 김장겸 사장의 적반하장,0
한겨레,20170824, 한겨레 사설   전쟁 막자는 게 논란이 된다 는 대통령의 탄식,-1
한겨레,20170828, 사설 속으로  한겨레 중앙일보   문 대통령 취임 100일 기자회견  사설 비   ,0
한겨레,20170829, 한겨레 사설  올해만 18번 미사일 쏜 김정은의 무모함,-1
한겨레,20170829, 한겨레 사설  복지 확대하고 SOC 삭감한 문재인 정부 첫 예산,1
한겨레,20170830, 한겨레 사설   독재가 불가피했다 는 박성진 후보자  장관 자격 있나,-1
한겨레,20170830, 시민편집인의 눈  사실관계의 핵심을 파고드는 기사가 아쉽다   최영재,-1
한겨레,20170901, 한겨레 사설   문재인 공산주의자 라는 자가 방문진 이사장이라니,0
한겨레,20170901, 한겨레 사설  이유정 후보 사퇴 계기로  인사 실패  원인 점검해야,-1
한겨레,20170903, 한겨레 사설  김정은   핵이 지켜줄 것 이란 오판 거두라,1
한겨레,20170904, 사설 속으로  한겨레 중앙일보   안철수 국민의당 대표 당선  사설 비교해   ,-1
한겨레,20170904,4월엔  석유 끊는다 던 중국신문  이번엔  과격해선 안된다 ,-1
한겨레,20170905, 한겨레 사설   군사력 강화 만으로 북핵 문제 해결할 수 없다,-2
한겨레,20170906, 한겨레 사설  이민자 청년 내쫓아 지지층 굳히는 비열한 트럼프,-2
한겨레,20170906, 한겨레 사설  신중하게 접근해야 할  소년법 개정  문제,0
한겨레,20170906, 한겨레 사설  안보 위기 와중의  반쪽 국회  더는 안 된다,-1
한겨레,20170907, 한겨레 사설  이런 방식의 사드 배치 강행  옳지 않다,-1
한겨레,20170907,중국과 북핵 공조커녕 더 강한 경제보복 직면할 듯,0
한겨레,20170908, 한겨레 사설  사드 배치  문 대통령이 직접 국민 앞에 설명해야,-1
한겨레,20170908, 한겨레 사설  홍준표 대표의 옹졸한  청와대 회동  거부,-1
한겨레,20170908, 한겨레 사설   포용적 성장이 한국 경제의 길  역설한 IMF 총재,0
한겨레,20170911, 사설 속으로  한겨레 중앙일보   수능 개편 1년 유예  사설 비교해보기,-1
한겨레,20170911, 한겨레 사설  기본권 옹호했다고 김이수 인준 부결한  폭주 국회 ,0
한겨레,20170912, 한겨레 사설  한계 드러낸 유엔 대북결의  결국 협상으로 풀어야,-1
한겨레,20170912, 한겨레 사설   국민의당이 결정권 가졌다 는 안철수 대표의 착각,1
한겨레,20170912, 한겨레 사설  대법원장 후보자마저 정략 대상으로 삼지 말라,1
한겨레,20170913, 박찬수 칼럼   코드  프레임의 허구,0
한겨레,20170913, 한겨레 사설   부적격  박성진 후보자  사퇴 불가피하다,-1
한겨레,20170914, 한겨레 사설  대북 인도적 지원  남북 경색 푸는 계기 되기를,0
한겨레,20170917, 한겨레 사설  자유한국당의  막말 과  생트집 은 어디까지인가,0
한겨레,20170917, 한겨레 사설   압박 대화  병행 기조  국제사회 지지 이끌어내야,-2
한겨레,20170918, 한겨레 사설  김명수 후보자 인준  더이상 미룰 명분 없다,-1
한겨레,20170919, 한겨레 사설   정책 혼선  자초한 송영무 장관의 경솔한 처신,0
한겨레,20170920, 한겨레 사설  김명수 후보자 인준  국회가 합리적 판단 하길,1
한겨레,20170920, 한겨레 사설   평화  내던지고  호전성 만 드러낸 최악의 유엔 연설,-2
한겨레,20170922, 한겨레 사설  트럼프와 달리 30번이나  평화  언급한 문 대통령,-1
한겨레,20170922, 한겨레 사설   촛불 입법  성과 내려면 정책연대 시급하다,0
한겨레,20170922, 한겨레 사설  우려스러운 김정은 트럼프  강대강 대결 ,1
한겨레,20170922,임은정  괴물 잡겠다고 검사 됐는데 우리가 괴물이더라 ,0
한겨레,20170925, 한겨레 사설   안보 위기 에도 청와대 회동 거부하는 자유한국당,-1
한겨레,20170925, 사설 속으로  한겨레 중앙일보   대북 인도적 지원  사설 비교해보기,-1
한겨레,20170926, 한겨레 사설  북 미  선전포고  공방까지  한국이 위기 냉각시켜야,-1
한겨레,20170926, 한겨레 사설  강남 재건축  진흙탕 수주전   언제까지 놔둘 건가,0
한겨레,20170927, 한겨레 사설  공공기관  채용 차별  없앴다더니  거짓말이었나,-2
한겨레,20170927, 시민편집인의 눈  정의로운 보도  좀더 야무지게    최영재,2
한겨레,20170927, 한겨레 사설   전쟁 안된다  강조한 뜻깊은 청와대 합의,1
한겨레,20170928, 한겨레 사설   전시작전권 환수  빠를수록 좋다,1
한겨레,20170928, 한겨레 사설  노 정 모두  사회적 대화  물꼬부터 터라,-1
한겨레,20171001, 한겨레 사설  미국은  북한과 대화채널 있다 는데 한국은 어떤가,-1
한겨레,20171008, 세상 읽기  북핵 위기와 류현진 등판 일정   김누리,0
한겨레,20171008, 한겨레 사설  세계 네번째로  나홀로 자영업자 가 많은 나라,-1
한겨레,20171009, 한겨레 사설  청년빈곤의 핵심  주거문제  대응 서둘러야,0
한겨레,20171009, 사설 속으로  한겨레 중앙일보   김명수 대법원장 인준 가결  사설 비교해   ,-1
한겨레,20171011,종편TV 억대벌이  메뚜기  평론가들 어디 갔지 ,-1
한겨레,20171011, 한겨레 사설  김관진의  사드 알박기   진상 규명하고 책임 물어야,0
한겨레,20171011, 야  한국 사회  감히 일개 부처가 벌인 일   서복경,-1
한겨레,20171012, 한겨레 사설   강정 10년 의 아픔 풀려면 구상권 철회해야,-2
한겨레,20171015, 한겨레 사설  신고리 시민참여단 의견이 국민의 의견이다,0
한겨레,20171015, 한겨레 사설   북한 평창겨울올림픽 참가  꼭 볼 수 있기를,0
한겨레,20171016, 사설 속으로  한겨레 중앙일보   파리바게트 제빵기사 불법 파견 논란  사   ,-1
한겨레,20171017, 한겨레 사설  트럼프 방한  체류기간보다  평화  메시지가 중요하다,-1
한겨레,20171017, 한겨레 사설  대통령은 헌재 인선 서두르고 국회는 법률 보완해야,-1
한겨레,20171018, 한겨레 사설   양질의 민간 일자리  많이 늘리는 게 중요하다,1
한겨레,20171018, 한겨레 사설  시진핑 2기 출범   한 중 관계 정상화  전환점 되길,0
한겨레,20171020, 한겨레 사설  신고리 5 6호기 짓되  탈원전  하자는 게 국민 뜻이다,-1
한겨레,20171022, 한겨레 사설   박근혜 출당  놓고 이전투구  자유한국당의 꼴불견,-1
한겨레,20171022, 한겨레 사설   원전 축소 말라 는 야당 보수언론의 공론조사 왜곡,0
한겨레,20171024, 한겨레 사설  대통령 노동계 만남   사회적 대화  징검다리 돼야,-1
한겨레,20171025, 시민편집인의 눈  적폐청산 딛고 미래로 가는 보도    최영재,0
한겨레,20171027, 한겨레 사설  촛불 1년  깨어 있는 시민이 민주주의의 보루다,0
한겨레,20171029, 한겨레 사설   적폐청산 가속화 가 국민 뜻이다,-1
한겨레,20171030, 사설 속으로  한겨레 중앙일보   신고리 5 6호기 건설 재개  사설 비교해   ,-1
한겨레,20171031, 한겨레 사설  한 중  사드 해빙   한반도 평화 정착의 발판 되길,-2
한겨레,20171101, 한겨레 사설   지역구 예산 나눠먹기  아닌  제대로 된  예산 심의 를,1
한겨레,20171101, 한겨레 사설   개헌 의지  거듭 밝힌 문 대통령  국회가 응답할 차례다,0
한겨레,20171102, 한겨레 사설  고영주 불신임  MBC의 빠른 정상화로 이어지길,-1
한겨레,20171102, 한겨레 사설  SK의 전자투표제  자발적  재벌개혁 으로 확대돼야,-1
한겨레,20171105, 한겨레 사설  한 미 정상회담  한반도  평화의 길  찾는 계기 되길,0
한겨레,20171106, 한겨레 사설   보수 혁신  내팽개친 바른정당 탈당파의 철새 행각,2
한겨레,20171106, 사설 속으로  한겨레 중앙일보   촛불 1년 평가  사설 비교해보기,-1
한겨레,20171107, 한겨레 사설  전병헌 수석  로비 의혹   엄정하게 수사해야,-2
한겨레,20171107, 한겨레 사설   동맹  강조한 한 미 정상  북핵 평화해결로 나가야,-1
한겨레,20171108, 한겨레 사설   북한 맹비난  트럼프  한국이 주도적으로 나설 때다,-1
한겨레,20171110, 한겨레 사설   남북경협  피해 지원  정부 신뢰회복 첫걸음 되길,-1
한겨레,20171112, 한겨레 사설  한 중 전략대화   북핵  위한 실질적 협력 기반으로,-1
한겨레,20171113, 사설 속으로  한겨레 중앙일보   국정원 특수활동비 청와대 상납  사설 비   ,1
한겨레,20171117,시진핑의 특사 방북  한반도 정세 전환 계기 마련할까,1
한겨레,20171120, 한겨레 사설  대북 인도적 지원  당당하게 실행하라,1
한겨레,20171120, 김종구 칼럼   민나 도로보데스 의 허와 실,0
한겨레,20171120, 한겨레 사설   노동자의 경영 참여   열린 시각으로 봐야,0
한겨레,20171120, 사설 속으로  한겨레 중앙일보   트럼프 방한  사설 비교해보기,-1
한겨레,20171121, 한겨레 사설   임시정부 기념 이 국론 분열시킨다는 해괴한 논리,-1
한겨레,20171122, 한겨레 사설   인사검증 기준  제시  사회적 합의가 중요하다,1
한겨레,20171127, 한겨레 사설   고교 교육  뒤바꿀 학점제  조급증을 버려라,0
한겨레,20171127, 사설 속으로  한겨레 중앙일보   공동경비구역 JSA  북한병사 귀순 총격사   ,-1
한겨레,20171129, 시민편집인의 눈  사실관계가 정확해야 사회개혁 이끈다 최영재,0
한겨레,20171129, 한겨레 사설   서민 주택 100만호 공급   택지 재원 확보가 관건이다,0
한겨레,20171129, 한겨레 사설  북한  핵무력 완성   한 미 대북정책 전면 재검토해야,0
한겨레,20171130, 아침햇발   검찰개혁 실종  유감,-1
